Product Name,Sales
Colored Push Pins,24.978
"""While you Were Out"" Message Book, One Form per Page",25.228
Newell 346,25.344
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.83
Xerox 1985,25.92
Newell 340,25.92
SanDisk Cruzer 4 GB USB Flash Drive,25.96
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",25.992
Avery Binder Labels,26.063
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",26.08
Self-Adhesive Address Labels for Typewriters with Dispenser Box,26.568
Economy Binders,26.624000000000002
Newell 339,26.688000000000002
SanDisk Cruzer 8 GB USB Flash Drive,27.168
Sony 8GB Class 10 Micro SDHC R40 Memory Card,27.192
Newell 313,28.208
Avery Reinforcements for Hole-Punch Pages,28.512
Dixon Ticonderoga Pencils,28.608
UniKeep View Case Binders,28.851
Rediform Voice Mail Log Books,29.204
Pencil and Crayon Sharpener,29.346
"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",29.4
"Eldon 300 Class Desk Accessories, Black",29.7
Jiffy Padded Mailers with Self-Seal Closure,29.808
Xerox 190,29.88
Xerox 1983,29.900000000000002
Plantronics Single Ear Headset,29.925
Round Ring Binders,29.952
Hammermill Color Copier Paper (28Lb. and 96 Bright),29.97
Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,30.3
Blackstonian Pencils,30.438000000000002
Newell 322,30.576
Disposable Triple-Filter Dust Bags,30.59
"SmartStand Mobile Device Holder, Assorted Colors",30.756
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",30.799999999999997
"OIC #2 Pencils, Medium Soft",30.832
Avery Hidden Tab Dividers for Binding Systems,31.588
Avery 509,32.364000000000004
Xerox 1958,32.400000000000006
Wilson Jones Hanging Recycled Pressboard Data Binders,32.647999999999996
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),32.868
"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",33.108000000000004
Acco Expandable Hanging Binders,33.176
"Super Bands, 12/Pack",33.480000000000004
"Eldon Regeneration Recycled Desk Accessories, Smoke",33.756
Xerox 1980,34.24
Assorted Color Push Pins,34.39
Newell 335,34.56
Economy #2 Pencils,34.58
Xerox 1963,34.848
Xerox 1926,34.86
Avery 498,35.258
Acme Kleencut Forged Steel Scissors,35.587999999999994
Plastic Stacking Crates & Casters,35.712
Wilson Jones DublLock D-Ring Binders,35.775
Regeneration Desk Collection,35.904
"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",35.948
Binder Clips by OIC,36.112
Contemporary Borderless Frame,36.162
Xerox 1976,36.288
Eldon 100 Class Desk Accessories,36.396
Newell 326,36.608
Letter or Legal Size Expandable Poly String Tie Envelopes,36.708
Avery Round Ring Poly Binders,36.919999999999995
Xerox 1990,36.96
Faber Castell Col-Erase Pencils,37.164
Durable Pressboard Binders,37.239999999999995
Eldon Pizzaz Desk Accessories,37.464
Turquoise Lead Holder with Pocket Clip,37.52
Col-Erase Pencils with Erasers,37.696
Southworth 25% Cotton Granite Paper & Envelopes,37.932
Peel & Stick Add-On Corner Pockets,38.016
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",38.135999999999996
Acco 6 Outlet Guardian Basic Surge Suppressor,38.272
Cardinal Hold-It CD Pocket,38.304
Acco Suede Grain Vinyl Round Ring Binder,38.641999999999996
Newell 310,38.72
Prang Dustless Chalk Sticks,38.976
Angle-D Ring Binders,39.384
"Eldon Regeneration Recycled Desk Accessories, Black",39.688
Newell 327,39.78
Xerox 207,40.176
Cardinal Poly Pocket Divider Pockets for Ring Binders,40.32
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",40.896
"Acco Banker's Clasps, 5 3/4""-Long",40.896
Newell 344,41.144
"#10 Gummed Flap White Envelopes, 100/Box",41.3
Wilson Jones Custom Binder Spines & Labels,41.344
Acco Side-Punched Conventional Columnar Pads,41.64
Texas Instrument TI-15 Fraction Calculator,41.905
Acco Hanging Data Binders,41.910000000000004
3-ring staple pack,42.111999999999995
Newell 349,42.64
Nontoxic Chalk,42.944
Acme Rosewood Handle Letter Opener,43.67
Boston 16750 Black Compact Battery Pencil Sharpener,43.75
Accohide Poly Flexible Ring Binders,43.758
Kingston Digital DataTraveler 8GB USB 2.0,44.03
Acme Kleen Earth Office Shears,44.232
Avery 517,44.28
Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,44.37
DIXON Oriole Pencils,44.891999999999996
Document Clip Frames,45.036
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",45.144
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",45.15
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",45.396
Avery 491,45.43
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",45.507999999999996
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",45.919999999999995
Decoflex Hanging Personal Folder File,46.26
Advantus SlideClip Paper Clips,46.376000000000005
Xerox 1972,46.464
"Stacking Tray, Side-Loading, Legal, Smoke",46.592
Avery 520,46.620000000000005
Xerox 1998,46.656
Newell 316,46.944
Xerox 1953,47.08
"Sanford Colorific Scented Colored Pencils, 12/Pack",47.080000000000005
Newell 32,47.232
"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",47.544000000000004
"Master Caster Door Stop, Gray",47.752
Avery 514,47.808
Newell 33,47.988
Revere Boxed Rubber Bands by Revere,48.006
Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,48.048
Eldon Image Series Black Desk Accessories,48.852
American Pencil,48.93
Xerox 218,49.248000000000005
"TOPS Voice Message Log Book, Flash Format",49.504
Xerox 1950,49.708
Xerox 1896,49.95
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",50.138000000000005
Wausau Papers Astrobrights Colored Envelopes,50.232
Avery 496,50.25
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",50.57
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",50.768
Colored Envelopes,50.922
Avery 488,51.03
"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",51.120000000000005
Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,51.184000000000005
"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",51.36
Avery Durable Slant Ring Binders,51.480000000000004
Wilson Jones Easy Flow II Sheet Lifters,51.480000000000004
Colorific Watercolor Pencils,51.6
Anderson Hickey Conga Table Tops & Accessories,51.782
EcoTones Memo Sheets,52.8
GBC VeloBinder Strips,52.992
"Eldon Imàge Series Desk Accessories, Clear",53.46
Avery 492,53.568
Staple-on labels,53.754000000000005
Ampad #10 Peel & Seel Holiday Envelopes,53.760000000000005
"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",53.848
Xerox 208,54.432
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",54.474000000000004
Imation Swivel Flash Drive USB flash drive - 8 GB,54.57599999999999
"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",54.599999999999994
Array Memo Cubes,54.908
Advantus Push Pins,54.936
GBC Standard Plastic Binding Systems Combs,55.755
Xerox 1921,55.944
Avery 493,55.974000000000004
"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",56.09
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",56.099999999999994
"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",56.164
Xerox 1965,56.212
Avery 494,56.376
Avery 511,56.672
Xerox 199,57.352
Binder Posts,57.4
Xerox 1974,57.408
Xerox 223,58.32
Rubber Band Ball,58.344
Avery 500,58.48
Convenience Packs of Business Envelopes,58.644
Ideal Clamps,58.69199999999999
"Executive Impressions 16-1/2"" Circular Wall Clock",58.784
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",59.489999999999995
"Master Caster Door Stop, Large Brown",59.696
"Crayola Anti Dust Chalk, 12/Pack",59.696
Newell 330,59.800000000000004
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",59.817
NETGEAR RangeMax WNR1000 Wireless Router,59.976
Spiral Phone Message Books with Labels by Adams,60.032
Xerox 1924,60.112
Xerox 206,60.912000000000006
Newell 311,61.438
Anker 24W Portable Micro USB Car Charger,61.544
Newell 318,61.716
Hoover Portapower Portable Vacuum,61.824
Wilson Jones Four-Pocket Poly Binders,62.13
Fiskars Home & Office Scissors,62.16
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,62.25
Park Ridge Embossed Executive Business Envelopes,62.28
Newell 350,62.32
"Array Parchment Paper, Assorted Colors",62.608
"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",62.608000000000004
Avery 515,62.650000000000006
G.E. Halogen Desk Lamp Bulbs,62.82
Peel & Seel Envelopes,62.856
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",62.934
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.946
Shocksock Galaxy S4 Armband,63.510000000000005
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.627
Ultra Commercial Grade Dual Valve Door Closer,63.824
Advantus T-Pin Paper Clips,64.042
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",64.06400000000001
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,64.972
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",65.0
Xerox 1927,65.056
ACCOHIDE Binder by Acco,65.25399999999999
Newell 343,65.268
Stackable Trays,65.296
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,65.34
Avery Fluorescent Highlighter Four-Color Set,65.464
Pastel Pink Envelopes,65.52
Newell 321,65.6
Newell 348,65.6
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",66.03
Avery 506,66.08
GBC ProClick Spines for 32-Hole Punch,66.40899999999999
Avery 501,66.42
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",66.56
Insertable Tab Post Binder Dividers,66.566
Wilson Jones data.warehouse D-Ring Binders with DublLock,66.663
Avery 49,66.816
Newell 332,67.032
Acco Hot Clips Clips to Go,67.116
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",67.25
Xerox 1897,67.72800000000001
Barrel Sharpener,67.83000000000001
Poly String Tie Envelopes,68.136
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,68.172
Avoid Verbal Orders Carbonless Minifold Book,68.276
"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",68.28
Newell 336,68.48
Avery 52,68.634
GBC Plasticlear Binding Covers,68.88
Woodgrain Magazine Files by Perma,69.136
Acme Value Line Scissors,69.35
Xerox 1899,69.36
Stockwell Push Pins,69.76
Recycled Pressboard Report Cover with Reinforced Top Hinge,69.768
Xerox 1975,69.98400000000001
"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",70.19200000000001
Southworth Parchment Paper & Envelopes,70.632
Xerox 1981,70.752
#6 3/4 Gummed Flap White Envelopes,71.28
GBC Instant Index System for Binding Systems,71.928
"Vtech AT&T CL2940 Corded Speakerphone, Black",71.976
Ibico Presentation Index for Binding Systems,72.038
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",72.25200000000001
Belkin 7-Outlet SurgeMaster Home Series,72.64399999999999
Stacking Trays by OIC,72.708
Avery 513,72.708
Southworth Structures Collection,72.8
"Adams ""While You Were Out"" Message Pads",72.848
XtraLife ClearVue Slant-D Ring Binders by Cardinal,72.912
"Sanford Colorific Colored Pencils, 12/Box",73.152
Tops Wirebound Message Log Books,73.696
Xerox 221,73.872
KeyTronic KT800P2 - Keyboard - Black,75.1
Xerox 22,75.168
Newell 331,75.306
Xerox 1900,75.328
"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",75.348
"Eldon 200 Class Desk Accessories, Black",75.36
Fiskars Spring-Action Scissors,75.492
Rogers Handheld Barrel Pencil Sharpener,75.62400000000001
Xerox 198,75.696
Newell 328,75.92
"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",76.092
Xerox 1994,76.464
"Memo Book, 100 Message Capacity, 5 3/8” x 11”",76.836
Plymouth Boxed Rubber Bands by Plymouth,77.244
Avery Durable Slant Ring Binders With Label Holder,77.33
Acco Translucent Poly Ring Binders,77.68799999999999
Xerox 193,77.74000000000001
Bulldog Table or Wall-Mount Pencil Sharpener,77.87
Fashion Color Clasp Envelopes,77.904
Avery Poly Binder Pockets,78.044
Sterilite Show Offs Storage Containers,78.144
Avery 474,78.336
Self-Adhesive Removable Labels,78.75
Xerox 1966,79.056
Xerox 1946,79.056
Xerox 231,79.05600000000001
QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,79.22999999999999
Eldon File Chest Portable File,79.4
Newell 317,79.96799999999999
Tuff Stuff Recycled Round Ring Binders,80.494
"Quartet Omega Colored Chalk, 12/Pack",80.592
"Verbatim Slim CD and DVD Storage Cases, 50/Pack",80.78
"Adams Telephone Message Books, 5 1/4” x 11”",80.936
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,81.00800000000001
Newell 320,81.32
Acme Stainless Steel Office Snips,81.424
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",81.652
Zipper Ring Binder Pockets,81.744
Xerox 1902,82.22399999999999
Things To Do Today Spiral Book,82.368
Newell 351,82.656
OIC Stacking Trays,82.832
Avery Durable Poly Binders,82.95
3M Organizer Strips,83.16
Newell Chalk Holder,83.426
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",83.44
"Master Giant Foot Doorstop, Safety Yellow",83.49
Avery 483,83.664
"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",83.904
Belkin iPhone and iPad Lightning Cable,83.944
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",83.952
Xerox 2000,84.24000000000001
Xerox 200,84.24000000000001
Avery 512,84.388
Xerox 1954,84.48
Magna Visual Magnetic Picture Hangers,84.83200000000001
"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",84.84
Avery 487,84.87
Xerox 1932,85.056
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",85.255
Xerox 1986,85.50399999999999
Xerox 229,85.536
Prestige Round Ring Binders,85.728
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",85.995
Boston 16701 Slimline Battery Pencil Sharpener,86.076
BIC Brite Liner Highlighters,86.112
Xerox 1992,86.11200000000001
Ibico Recycled Grain-Textured Covers,86.35
Newell 333,86.73599999999999
HP Office Paper (20Lb. and 87 Bright),86.84
Avery Durable Binders,87.264
Avery 508,87.398
Advantus Panel Wall Acrylic Frame,87.52
Xerox 1952,87.648
Cardinal Holdit Business Card Pockets,87.648
Advantus Map Pennant Flags and Round Head Tacks,87.69
AmazonBasics 3-Button USB Wired Mouse,88.074
"TOPS Money Receipt Book, Consecutively Numbered in Red,",88.11
Manco Dry-Lighter Erasable Highlighter,88.16
Avery 478,88.38
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",88.896
Acme Design Stainless Steel Bent Scissors,88.92
Avery 480,89.25
Xerox 1967,89.424
"Avery Durable Slant Ring Binders, No Labels",89.55
Xerox 1956,89.7
Xerox 1920,89.7
Prang Colored Pencils,90.55199999999999
Avery 48,90.72
Fluorescent Highlighters by Dixon,90.744
Acme Preferred Stainless Steel Scissors,90.88
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882
Avery 481,91.168
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",91.44
Penpower WorldCard Pro Card Scanner,91.475
Akro Stacking Bins,91.524
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,91.68599999999999
Avery Binding System Hidden Tab Executive Style Index Sets,91.743
OIC Bulk Pack Metal Binder Clips,92.136
Xerox 196,92.47999999999999
Xerox 1987,92.48
Avery Heavy-Duty EZD  Binder With Locking Rings,92.628
Presstex Flexible Ring Binders,92.82
Newell 35,93.152
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",93.22
"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",93.248
"Tensor ""Hersey Kiss"" Styled Floor Lamp",93.52799999999999
Eldon Expressions Mahogany Wood Desk Collection,93.6
Acrylic Self-Standing Desk Frames,93.984
Storex DuraTech Recycled Plastic Frosted Binders,94.128
Xerox 1923,94.856
DIXON Ticonderoga Erasable Checking Pencils,94.86
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",94.928
Newell 31,94.99000000000001
Acme Elite Stainless Steel Scissors,95.076
Avery White Multi-Purpose Labels,95.616
Avery 51,95.75999999999999
Xerox 1957,95.904
Xerox 224,95.904
Xerox 210,95.904
Xerox 1995,95.904
"Dixon My First Ticonderoga Pencil, #2",95.94
Dax Clear Box Frame,96.03
Sabrent 4-Port USB 2.0 Hub,96.418
Wilson Jones Standard D-Ring Binders,96.646
Newell 341,96.72800000000001
Avery 495,97.02
Xerox 228,97.2
Xerox 219,97.2
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.812
Eldon Executive Woodline II Cherry Finish Desk Accessories,98.13600000000001
Xerox 1907,98.24
Xerox 1999,98.49600000000001
"GE 4 Foot Flourescent Tube, 40 Watt",98.868
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",99.06
Portfile Personal File Boxes,99.11999999999999
Pressboard Data Binders by Wilson Jones,99.324
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",99.792
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",99.80000000000001
Xerox Blank Computer Paper,99.9
Prang Drawing Pencil Set,100.08
"6"" Cubicle Wall Clock, Black",100.316
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,100.392
Cardinal Holdit Data Disk Pockets,100.464
Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,100.92
Zebra Zazzle Fluorescent Highlighters,100.928
Xerox 1970,101.592
"Linden 12"" Wall Clock With Oak Frame",101.94
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,101.994
Acme Titanium Bonded Scissors,102.0
Fellowes Black Plastic Comb Bindings,102.256
"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",102.49199999999999
Cardinal Slant-D Ring Binders,102.542
Boston 16765 Mini Stand Up Battery Pencil Sharpener,102.608
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",102.619
Avery Personal Creations Heavyweight Cards,103.86
Memorex Micro Travel Drive 4 GB,103.88
Samsung Replacement EH64AVFWE Premium Headset,104.5
Xerox 211,104.976
Rosewill 107 Normal Keys USB Wired Standard Keyboard,105.14399999999999
Avery Hanging File Binders,105.846
HP Office Recycled Paper (20Lb. and 87 Bright),106.352
Avery 518,106.47
Longer-Life Soft White Bulbs,106.568
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",106.72200000000001
SanDisk Cruzer 16 GB USB Flash Drive,107.912
Micro Innovations Wireless Classic Keyboard with Mouse,107.964
3M Hangers With Command Adhesive,108.03999999999999
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",108.08
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",108.416
GBC Standard Plastic Binding Systems' Combs,108.644
#10 Self-Seal White Envelopes,108.682
Dana Swing-Arm Lamps,108.936
Xerox 1962,109.568
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",109.584
Avery 516,109.64999999999999
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",110.01599999999999
Recycled Premium Regency Composition Covers,110.01599999999999
Xerox 201,110.16
Xerox 204,110.16
Xerox 1971,110.424
Xerox 1949,110.55600000000001
SpineVue Locking Slant-D Ring Binders by Cardinal,110.59400000000001
"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",110.76
"Eldon Image Series Desk Accessories, Burgundy",111.18799999999999
Xerox 213,111.456
Pressboard Hanging Data Binders for Unburst Sheets,112.66799999999999
"GBC Laser Imprintable Binding System Covers, Desert Sand",112.733
Akro-Mils 12-Gallon Tote,113.202
DAX Solid Wood Frames,113.332
Avery File Folder Labels,113.472
Avery Hi-Liter Smear-Safe Highlighters,114.464
Wilson Jones Active Use Binders,115.024
Avery Printable Repositionable Plastic Tabs,115.24000000000001
"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",115.434
"Wilson Jones 1"" Hanging DublLock Ring Binders",115.632
"Avery Durable Plastic 1"" Binders",116.224
Xerox 1892,116.28
Avery Hole Reinforcements,116.501
Strathmore Photo Frame Cards,116.96000000000001
"Electrix Incandescent Magnifying Lamp, Black",117.28
Xerox 1977,117.568
"SlimView Poly Binder, 3/8""",117.58599999999998
Newell 314,118.296
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",118.72
"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",119.21
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,119.508
DAX Clear Channel Poster Frame,119.556
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833
"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",119.97
Xerox 232,120.52799999999999
Xerox 227,120.528
Eldon 200 Class Desk Accessories,120.576
Avery 476,120.596
Crayola Colored Pencils,120.70400000000001
"DAX Copper Panel Document Frame, 5 x 7 Size",120.768
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",121.296
Avery 519,121.34599999999999
"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",121.392
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",122.18
VariCap6 Expandable Binder,122.83
"BIC Brite Liner Highlighters, Chisel Tip",123.12
Avery 503,124.2
Eldon Econocleat Chair Mats for Low Pile Carpets,124.41
Xerox 21,124.416
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,124.488
"DXL Angle-View Binders with Locking Rings, Black",124.592
Xerox 1928,124.608
Deflect-O Glasstique Clear Desk Accessories,124.74
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",124.8
Dell Slim USB Multimedia Keyboard,125.0
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",125.172
DAX Cubicle Frames - 8x10,125.786
"Wirebound Service Call Books, 5 1/2"" x 4""",125.84
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,126.36000000000001
Xerox 230,127.008
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",127.032
Newell 347,127.54400000000001
PowerGen Dual USB Car Charger,127.87200000000001
Newell 325,128.03
OIC Binder Clips,128.164
GBC Personal VeloBind Strips,128.186
Harmony HEPA Quiet Air Purifiers,128.7
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),129.168
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",131.097
Hewlett-Packard 300S Scientific Calculator,131.1
"It's Hot Message Books with Stickers, 2 3/4"" x 5""",131.72
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",132.888
OtterBox Defender Series Case - iPhone 5c,133.128
Xerox 1959,133.6
Fellowes Presentation Covers for Comb Binding Machines,133.86
Wilson Jones Impact Binders,134.68
Xerox 23,134.784
Xerox 222,134.784
"Eldon 200 Class Desk Accessories, Burgundy",135.648
Avery Metallic Poly Binders,135.80100000000002
Memorex Froggy Flash Drive 4 GB,136.276
Stiletto Hand Letter Openers,136.32
Xerox 1947,136.344
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",136.344
